postcode,SEIFA_advantage_disadvantage,SEIFA_disadvantage,SEIFA_economic,SEIFA_education_occupation
2600,5,5,4,5
2601,5,5,1,5
2602,2,2,2,4
2603,5,4,3,5
2604,3,2,2,5
2605,4,4,4,4
2606,2,2,2,3
2607,4,4,3,4
2609,1,1,1,1
2611,3,3,4,3
2612,3,3,1,5
2614,3,3,2,3
2615,1,1,3,1
2617,3,3,2,2
2900,2,2,1,3
2902,2,2,3,2
2903,1,1,3,2
2904,4,5,5,2
2905,1,1,4,1
2906,2,3,5,1
2911,5,5,5,4
2912,4,4,4,3
2913,4,4,5,2
2914,5,5,5,4
2000,4,3,1,5
2007,4,3,1,5
2008,4,4,1,5
2009,5,4,1,5
2010,5,4,1,5
2011,4,4,1,5
2015,5,5,4,5
2016,4,3,1,5
2017,3,2,1,5
2018,3,2,2,4
2019,4,4,4,4
2020,4,4,3,4
2021,5,5,3,5
2022,5,5,3,5
2023,5,5,5,5
2024,5,5,4,5
2025,5,5,4,5
2026,5,5,3,5
2027,5,5,4,5
2028,5,5,4,5
2029,5,5,4,5
2030,5,5,5,5
2031,5,5,3,5
2032,4,3,1,5
2033,5,4,2,5
2034,5,5,3,5
2035,4,4,3,5
2036,4,3,3,4
2037,4,3,1,5
2038,5,5,4,5
2039,5,5,5,5
2040,5,5,4,5
2041,5,5,4,5
2042,5,5,2,5
2043,5,5,3,5
2044,4,4,3,4
2045,5,4,5,5
2046,5,5,4,5
2047,5,5,5,5
2048,5,5,3,5
2049,4,4,3,5
2050,5,5,2,5
2060,5,5,3,5
2061,5,5,2,5
2062,5,5,4,5
2063,5,5,5,5
2064,5,5,3,5
2065,5,5,4,5
2066,5,5,5,5
2067,5,4,3,5
2068,5,5,5,5
2069,5,5,5,5
2070,5,5,5,5
2071,5,5,5,5
2072,5,5,5,5
2073,5,5,5,5
2074,5,5,5,5
2075,5,5,5,5
2076,5,5,5,5
2077,4,4,4,5
2079,5,5,5,5
2080,5,5,5,4
2081,5,5,5,5
2082,5,5,5,4
2083,4,4,4,4
2084,5,5,5,5
2085,5,5,5,5
2086,5,5,5,5
2087,5,5,5,5
2088,5,5,5,5
2089,5,5,3,5
2090,5,5,4,5
2092,5,5,5,5
2093,5,5,5,5
2094,5,5,5,5
2095,5,5,3,5
2096,5,5,5,5
2097,5,5,5,5
2099,4,4,4,4
2100,5,5,5,4
2101,5,5,5,4
2102,5,5,5,5
2103,5,5,5,4
2104,5,5,5,5
2105,5,5,5,5
2106,5,5,5,5
2107,5,5,5,5
2108,5,5,5,5
2109,2,1,1,5
2110,5,5,5,5
2111,5,5,4,5
2112,5,4,4,5
2113,5,5,4,5
2114,4,4,4,5
2115,3,3,3,4
2116,4,3,3,4
2117,4,4,4,4
2118,5,5,5,5
2119,5,5,5,5
2120,5,5,5,5
2121,5,5,5,5
2122,4,4,3,5
2125,5,5,5,5
2126,5,5,5,5
2127,5,5,5,5
2128,3,3,2,4
2130,4,4,2,5
2131,4,3,1,4
2132,4,4,4,5
2133,4,4,3,4
2134,4,3,1,5
2135,5,4,3,5
2136,4,4,4,4
2137,5,5,5,5
2138,5,5,4,5
2140,4,4,1,5
2141,3,2,2,3
2142,1,1,1,3
2143,1,1,1,3
2144,1,1,1,3
2145,4,4,3,4
2146,4,4,4,4
2147,3,3,3,3
2148,3,3,2,2
2150,3,3,1,4
